num_layers,activation,final_train_loss,final_train_acc,test_acc,precision,recall,f1,avg_epoch_time
1,leaky_relu,2.010716405670966,29.336,26.52,25.073667696220152,26.52,21.672208717169937,26.61688494682312
2,leaky_relu,0.9086182509236933,66.648,62.68,67.78142856859553,62.68,63.6327259310369,26.285482168197632
3,leaky_relu,0.7505771421715427,72.464,69.4,72.42074228685976,69.39999999999999,69.7959279150008,27.652462482452393
4,leaky_relu,0.7741849564987681,71.4,48.02,58.32956172841969,48.02,47.97743585306778,28.34317946434021
5,leaky_relu,0.8036498003603553,70.0,70.88,73.44593884599428,70.88,69.96358560968235,27.749759674072266
6,leaky_relu,0.8395567216989025,68.66,29.08,39.202086077963244,29.080000000000002,26.909645972269246,27.900068759918213
7,leaky_relu,0.9017719336787758,66.728,69.64,72.93812454503448,69.64,70.14641242793972,27.751851439476013
8,leaky_relu,0.9495284196056063,64.448,64.64,68.60846936379104,64.64,65.29196661728,29.660247087478638
9,leaky_relu,1.0028712025383855,63.36,63.74,65.48872202535412,63.739999999999995,63.11164133715923,29.125729084014893
10,leaky_relu,1.0574726512669907,61.212,67.42,70.60264738125235,67.42,68.14752763050265,30.373040914535522
11,leaky_relu,1.0862804264058847,60.272,61.98,66.53498121005397,61.980000000000004,62.75655036148075,30.686777114868164
12,leaky_relu,1.1144160652709434,59.576,59.72,60.49514427316778,59.72,59.708916880624116,30.059192538261414
13,leaky_relu,1.176151191029707,56.948,42.04,52.88354252753831,42.04,40.596302490690576,30.428363800048828
14,leaky_relu,1.200016800247495,55.92,58.2,62.21522092179059,58.199999999999996,58.829681295370925,30.93255889415741
15,leaky_relu,1.2010186029517131,56.36,49.3,57.71423718864113,49.3,49.75361505778216,31.28963613510132
